date,geography,population_covered,population_basis,is_official,source_url,notes
2025-07-17,Austin,270000,metro population density x geofence sq mi (estimate),FALSE,https://www.statesman.com/story/business/technology/2025/07/17/waymo-expands-austin-service-to-90-square-miles/85257063007/,"90 sq mi service area (official Waymo-announced expansion, adding Crestview, Windsor Park, Sunset Valley, Franklin Park, The Domain, plus Austin-Bergstrom Airport access) x 3,000/sq mi = ~270,000. ESTIMATE. MEDIUM-HIGH CONFIDENCE."
2026-01-14,Austin,420000,metro population density x geofence sq mi (estimate),FALSE,https://www.kvue.com/article/tech/austin-waymo-service-area-expands/269-66d6874c-b914-4a0b-872f-f40dc8f3a5d2,"140 sq mi service area (Manchaca to the Domain, per Spectrum News/KVUE coverage of the 2026-01-14 expansion) x 3,000/sq mi = ~420,000. ESTIMATE. MEDIUM-HIGH CONFIDENCE, though at 140 sq mi the geofence likely extends into somewhat lower-density unincorporated Travis County land at its edges, which a flat city-density multiplier would not capture - plausible mild overestimate."
2025-06-24,Atlanta,250000,metro population density x geofence sq mi (estimate),FALSE,https://www.cnbc.com/2025/06/24/uber-waymo-robotaxi-service-opens-to-passengers-in-atlanta.html,"65 sq mi initial Atlanta public-launch service area (Downtown to Buckhead to Capitol View) x Atlanta city population density 3,843.7/sq mi (ACS 2024 1-year estimate via Census Reporter) = ~249,860, rounded to ~250,000. ESTIMATE; no expansion beyond 65 sq mi found as of 2026-09-23. MEDIUM-HIGH CONFIDENCE."
2026-02-24,Dallas,192000,metro population density x geofence sq mi (estimate),FALSE,https://waymo.com/blog/2026/02/dallas-houston-san-antonio-orlando/,"50 sq mi Dallas launch service area (central Dallas, Northwest Highway to Bishop Arts District) x Dallas city population density 3,841.1/sq mi (2020 Census, per census.gov QuickFacts) = ~192,050, rounded to ~192,000. ESTIMATE; area unchanged as of 2026-09-23 (only the access policy changed, waitlist removed 2026-08-04 - see geographies.csv/timeline.md). MEDIUM-HIGH CONFIDENCE."
2026-02-24,Houston,87500,metro population density x geofence sq mi (estimate),FALSE,https://www.houstonpublicmedia.org/articles/news/transportation/2026/02/24/544147/waymo-houston-self-driving-cars-fully-autonomous/,"25 sq mi initial Houston launch area (downtown, Montrose, the Heights, Rice Military) x Houston city population density 3,501/sq mi (per houstontx.gov planning department density documentation) = ~87,525, rounded to ~87,500. ESTIMATE. MEDIUM-HIGH CONFIDENCE."
2026-05-13,Houston,175000,metro population density x geofence sq mi (estimate),FALSE,https://www.click2houston.com/news/local/2026/05/13/waymo-expands-houston-robotaxi-service-area-ahead-of-fifa-world-cup-events/,"Service area nearly doubled to ~50 sq mi ahead of the FIFA World Cup, adding NRG Stadium, EaDo, and the Texas Medical Center. 50 sq mi x 3,501/sq mi = ~175,050, rounded to ~175,000. ESTIMATE. MEDIUM-HIGH CONFIDENCE."
2026-02-24,San Antonio,195000,metro population density x geofence sq mi (estimate),FALSE,https://www.aol.com/news/san-antonio-riders-now-hail-163003486.html,"~60 sq mi San Antonio launch area (North Star Mall to the Rodeo fairgrounds, downtown, River Walk, the Alamo) x San Antonio city population density ~3,258/sq mi (average of two Census-derived city-data estimates, 3,103 and 3,413 people/sq mi per statisticalatlas.com/areavibes.com) = ~195,480, rounded to ~195,000. ESTIMATE; San Antonio International Airport access added 2026-03-31 without a stated service-area sq-mi change, so not treated as a separate row. MEDIUM CONFIDENCE."
2026-02-24,Orlando,181000,metro population density x geofence sq mi (estimate),FALSE,https://www.clickorlando.com/news/local/2026/02/24/timeline-waymo-makes-its-way-to-orlando-heres-the-companys-journey/,"~60 sq mi Orlando launch area (Parramore, Richmond Heights, Williamsburg, Florida Center, Southwest Orlando - no freeway or airport access) x Orlando city population density 3,013.8/sq mi (ACS 2024 1-yr estimate via Census Reporter) = ~180,840, rounded to ~181,000. ESTIMATE. MEDIUM-HIGH CONFIDENCE."
2026-01-22,Miami,620000,sum of named-neighborhood/city Census densities x sub-area sq mi (estimate),FALSE,https://www.cnbc.com/2026/01/22/waymo-launches-robotaxi-service-in-miami-extending-us-lead.html,"60 sq mi Miami launch area spans both very dense central Miami neighborhoods (Design District, Wynwood, Brickell - assumed ~40 sq mi of the 60, at Miami city density 13,607/sq mi per en.wikipedia.org/wiki/Demographics_of_Miami = 544,280) and the separately-incorporated, markedly lower-density Coral Gables and surrounding area (assumed ~20 sq mi of the 60, at Coral Gables density 3,805.5/sq mi per en.wikipedia.org/wiki/Coral_Gables,_Florida = 76,100). Total = 620,380, rounded to ~620,000. ESTIMATE with an ASSUMED 40/20 sq-mi split between the two density zones, since no source gives the exact sub-area breakdown. LOW-MEDIUM CONFIDENCE - flagged as one of the lower-confidence estimates in this dataset because the geofence spans multiple municipalities of very different density (Miami city's own land area is only 36 sq mi, smaller than the full 60 sq mi service area, confirming the area extends into other jurisdictions) and the assumed split is not independently verified against an actual map of the service boundary."
2026-04-07,Nashville,87000,metro population density x geofence sq mi (estimate),FALSE,https://www.newschannel5.com/news/state/tennessee/davidson-county/waymo-officially-launches-its-first-self-driving-car-public-rides-across-a-60-square-mile-nashville-area,"60 sq mi Nashville launch area (Lower Broadway, 12 South, Midtown, East Nashville) x Nashville/Davidson County population density 1,454/sq mi (areavibes.com, citing Census) = ~87,240, rounded to ~87,000. ESTIMATE. One Sept 2026 secondary source (Axios, via search summary) described the area as '50 sq mi' rather than 60 - kept the more specific 60-sq-mi figure from the outlet whose headline explicitly stated it (and which matches this dataset's existing timeline.md/geographies.csv), flagging the discrepancy as a minor source of uncertainty. MEDIUM CONFIDENCE."
2026-09-14,Las Vegas,115000,metro population density x geofence sq mi (estimate) - LOW CONFIDENCE,FALSE,https://waymo.com/blog/2026/09/ride-in-las-vegas/,"~24 sq mi Las Vegas launch area (Boulder Junction to Sahara Ave along the Strip, Spring Valley to Winchester) x Las Vegas city population density 4,785.7/sq mi (areavibes.com, citing Census) = ~114,864, rounded to ~115,000. LOW-CONFIDENCE ESTIMATE: the service area is centered on the Strip/resort corridor, which has very low permanent-resident density but an enormous transient/tourist population - Waymo's own blog post noted over 100,000 people had expressed interest in riding, i.e. comparable in scale to this whole population estimate just from an interest waitlist. City-wide residential density is therefore a poor proxy for 'people who could plausibly use the service' in this specific geography: it is likely a reasonable-to-conservative estimate of permanent residents within the geofence, but a significant UNDERSTATEMENT of the total population (residents + tourists) actually exposed to the service, which this dataset does not attempt to separately quantify."
2026-09-01,San Diego,220000,metro population density x geofence sq mi (estimate),FALSE,https://www.axios.com/local/san-diego/2026/09/01/san-diego-robotaxi-public-rides-service-area-airport-highways,"50 sq mi San Diego launch area (Logan Heights to Pacific Beach, Sunset Cliffs to Normal Heights) x San Diego city population density ~4,400/sq mi (average of two Census-derived estimates, 4,313 and 4,517 people/sq mi, per statisticalatlas.com/everycityintheusa.com) = ~220,000. ESTIMATE. MEDIUM-HIGH CONFIDENCE."
2026-09-01,Denver,280000,metro population density x geofence sq mi (estimate),FALSE,https://www.9news.com/article/news/community/transportation/waymo-launches-denver-map-area/73-47825686-251b-40c7-9b3f-f56e8ddbbc4a,"60 sq mi Denver launch area (US-36/I-25 junction north to University of Denver south, Sheridan Blvd west to Central Park east) x Denver city population density 4,674/sq mi (2020 Census, per en.wikipedia.org/wiki/Denver) = ~280,440, rounded to ~280,000. ESTIMATE; Denver International Airport not served at launch, so no separate reduction applied since the geofence itself doesn't extend there. MEDIUM-HIGH CONFIDENCE."
2026-09-01,Tampa,175000,metro population density x geofence sq mi (estimate),FALSE,https://www.businessobserverfl.com/news/2026/sep/01/waymo-driverless-taxis-tampa/,"~50 sq mi Tampa launch area (Hyde Park through Northwest Park, Temple Crest, Westshore, to Highland Pines in East Tampa) x Tampa city population density ~3,500/sq mi (average of two Census-derived estimates, 3,376.4 and 3,699 people/sq mi, per statisticalatlas.com/areavibes.com) = ~175,000. ESTIMATE. MEDIUM-HIGH CONFIDENCE."
